date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:31	4066/4066	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:30%20GMT	http://www.hantang.com/english/en_Articles/researchstudy.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/researchstudy.html	(from http://www.hantang.com/english/en_index.html)
21:12:31	9816/9816	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:15%20GMT	http://www.hantang.com/english/en_Articles/acuinjection.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/acuinjection.html	(from http://www.hantang.com/english/en_index.html)
21:12:32	6516/6516	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:15%20GMT	http://www.hantang.com/english/en_Articles/acid.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/acid.html	(from http://www.hantang.com/english/en_index.html)
21:12:33	8530/8530	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:20%20GMT	http://www.hantang.com/english/en_Articles/flies.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/flies.html	(from http://www.hantang.com/english/en_index.html)
21:12:33	58755/58755	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Aug%202008%2001:45:07%20GMT	http://www.hantang.com/images/Arial_sm.jpg	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/images/Arial_sm.jpg	(from http://www.hantang.com/)
21:12:33	8942/8942	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:27%20GMT	http://www.hantang.com/english/en_Articles/phone.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/phone.html	(from http://www.hantang.com/english/en_index.html)
21:12:34	5227/5227	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:20%20GMT	http://www.hantang.com/english/en_Articles/FreqQues.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/FreqQues.html	(from http://www.hantang.com/english/en_index.html)
21:12:35	9086/9086	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:19%20GMT	http://www.hantang.com/english/en_Articles/eating.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/eating.html	(from http://www.hantang.com/english/en_index.html)
21:12:35	1323/1323	---M-Z	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202008%2001:51:30%20GMT	http://www.hantang.com/english/en_Articles/Seniors.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/Seniors.html	(from http://www.hantang.com/english/en_index.html)
21:12:36	6540/6540	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Apr%202009%2015:18:43%20GMT	http://www.hantang.com/english/en_Articles/instructionen.htm	E:/%e4%b8%ad%e5%8c%bb%e5%ad%a6%e4%b9%a0/%e5%80%aa%e6%b5%b7%e5%8e%a6/web/hantang/www.hantang.com/english/en_Articles/instructionen.html	(from http://www.hantang.com/english/en_index.html)
